                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "30517636"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260102"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41 
                            model_number                                 star_age                                   log_dt                       phase_of_evolution                                 log_Teff                                    log_L                                    log_g                                    log_R                                     Teff                               surface_h1                              surface_he4                                center_h1                               center_he4                               center_c12                               center_o16                                star_mass                             log_abs_mdot                           mass_conv_core                                   log_LH                                  log_LHe                                 log_Lnuc                                       pp                                      cno                                tri_alpha                              num_retries                                num_iters                                  Mag_bol                                 Flux_bol                               Interp_rad                                        g                                 g_filter                                        i                                 i_filter                                        r                                 r_filter                                        u                                 u_filter                                        y                                 y_filter                                        z                                 z_filter 
                                       1                  1.0000000000000001E-005                 -4.9999999999999991E+000                                        1                  3.6618998272920442E+000                  2.7014118343807612E+000                  2.0379187846975739E+000                  1.5495594234707888E+000                  4.5909210818974852E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209896477136267E+001                 -9.8999999999999986E+001                 -1.3209896477136267E+001                 -1.3209896477136267E+001                 -3.9488412851286405E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632690147364359E+000                  7.1563635348643444E-003                  2.1961180754394207E-003                 -8.8483092030993493E-001                 -8.5678344998513567E-001                 -2.1105053582592896E+000                 -2.1113098961585344E+000                 -1.7896982437899025E+000                 -1.7900737910395981E+000                  1.2961384389499644E+000                  1.4414567729494721E+000                 -2.1711016123827438E+000                 -2.4909607359412043E+000                 -2.3138001571089712E+000                 -2.2895595410201204E+000 
                                      10                  2.5958682111999997E-004                 -4.2873687855713758E+000                                        2                  3.6619012210737294E+000                  2.7014173965192301E+000                  2.0379187976858462E+000                  1.5495594169766527E+000                  4.5909358155684322E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209896399143819E+001                 -9.8999999999999986E+001                 -1.3209896399143819E+001                 -1.3209896399143819E+001                 -3.9337092207122446E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632516630651494E+000                  7.1564779050579223E-003                  2.1963620784921172E-003                 -8.8485739023536958E-001                 -8.5681009893887150E-001                 -2.1105219987020587E+000                 -2.1113265298167794E+000                 -1.7897182449109592E+000                 -1.7900938431134503E+000                  1.2961039517588642E+000                  1.4414189056820106E+000                 -2.1711147321494213E+000                 -2.4909736309769546E+000                 -2.3138146404978817E+000                 -2.2895739897721139E+000 
                                      20                  1.8668799962237366E-003                 -3.4955563250951283E+000                                        2                  3.6619049561626267E+000                  2.7014322299412856E+000                  2.0379189046193784E+000                  1.5495593635098865E+000                  4.5909752994390410E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209895896857699E+001                 -9.8999999999999986E+001                 -1.3209895896857699E+001                 -1.3209895896857699E+001                 -3.9336794514990125E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632053440510941E+000                  7.1567832168546912E-003                  2.1970160299603697E-003                 -8.8492814540938181E-001                 -8.5688133411734779E-001                 -2.1105664102308430E+000                 -2.1113709231552749E+000                 -1.7897716624340323E+000                 -1.7901473971953794E+000                  1.2960116972442248E+000                  1.4413175919758863E+000                 -2.1711497095231298E+000                 -2.4910080059153774E+000                 -2.3138532720151987E+000                 -2.2896125284575031E+000 
                                      30                  1.1818815689988481E-002                 -2.7037438646188803E+000                                        2                  3.6619036299902468E+000                  2.7014263740127467E+000                  2.0379194558583973E+000                  1.5495590878903771E+000                  4.5909612803446344E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209892786628552E+001                 -9.8999999999999986E+001                 -1.3209892786628552E+001                 -1.3209892786628552E+001                 -3.9336783856198409E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632232623778044E+000                  7.1566651066533949E-003                  2.1967838386631813E-003                 -8.8490156206041293E-001                 -8.5685458224695399E-001                 -2.1105491586766858E+000                 -2.1113536779821342E+000                 -1.7897512145344590E+000                 -1.7901269009308984E+000                  1.2960457993537546E+000                  1.4413548978792234E+000                 -2.1711358110756231E+000                 -2.4909943198773408E+000                 -2.3138380758480488E+000                 -2.2895973651446266E+000 
                                      40                  7.3438578398454232E-002                 -1.9119314041426323E+000                                        2                  3.6619037027497541E+000                  2.7014238086837432E+000                  2.0379223122254313E+000                  1.5495576597068603E+000                  4.5909620494911978E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209873530150688E+001                 -9.8999999999999986E+001                 -1.3209873530150688E+001                 -1.3209873530150688E+001                 -3.9336717735173345E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632294929361199E+000                  7.1566240378457399E-003                  2.1967966269222441E-003                 -8.8489586148377808E-001                 -8.5684890026848470E-001                 -2.1105428399340385E+000                 -2.1113473585097098E+000                 -1.7897450773891972E+000                 -1.7901207670333901E+000                  1.2960505249052292E+000                  1.4413593855284206E+000                 -2.1711293253739221E+000                 -2.4909878152119984E+000                 -2.3138316598661097E+000                 -2.2895909468403008E+000 
                                      50                  4.5497190750010669E-001                 -1.1201189436663841E+000                                        2                  3.6619046570910401E+000                  2.7014100571351389E+000                  2.0379398811391805E+000                  1.5495488752499857E+000                  4.5909721379211087E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209754347712266E+001                 -9.8999999999999986E+001                 -1.3209754347712266E+001                 -1.3209754347712266E+001                 -3.9336308039168820E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3632614945326305E+000                  7.1564131026124102E-003                  2.1969640243876178E-003                 -8.8487043511069974E-001                 -8.5682365337377009E-001                 -2.1105100373448487E+000                 -2.1113145489655465E+000                 -1.7897146137427344E+000                 -1.7900903418897505E+000                  1.2960670396496698E+000                  1.4413732080864845E+000                 -2.1710942156669781E+000                 -2.4909525071558356E+000                 -2.3137974748225743E+000                 -2.2895567349186301E+000 
                                      60                  2.8173257176583335E+000                 -3.2830648319013606E-001                                        2                  3.6619105793096605E+000                  2.7013250160284454E+000                  2.0380486111203533E+000                  1.5494945102593993E+000                  4.5910347427369470E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3209016896522737E+001                 -9.8999999999999986E+001                 -1.3209016896522737E+001                 -1.3209016896522737E+001                 -3.9333771725194737E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3634593455583772E+000                  7.1551091259500037E-003                  2.1980029541186124E-003                 -8.8471338033482738E-001                 -8.5666771141158826E-001                 -2.1103072203457178E+000                 -2.1111116888471195E+000                 -1.7895263102179915E+000                 -1.7899022772335691E+000                  1.2961688490587551E+000                  1.4414583179852518E+000                 -2.1708770803432835E+000                 -2.4907341417109845E+000                 -2.3135860775911929E+000                 -2.2893451709487573E+000 
                                      70                  1.7444397846610435E+001                  4.6350597728611193E-001                                        2                  3.6619471889685693E+000                  2.7007990520385530E+000                  2.0387210137458824E+000                  1.5491583089466345E+000                  4.5914217688386416E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3204457463438757E+001                 -9.8999999999999986E+001                 -1.3204457463438757E+001                 -1.3204457463438757E+001                 -3.9318089753459589E+001                 -9.8999999999999986E+001                                        0                                        2                  5.3646830743673366E+000                  7.1470491749169663E-003                  2.2044307101267489E-003                 -8.8374180677757330E-001                 -8.5570301806909543E-001                 -2.1090527639801144E+000                 -2.1098569659480679E+000                 -1.7883615604419409E+000                 -1.7887390040542357E+000                  1.2967988120031708E+000                  1.4419850682935427E+000                 -2.1695341271053232E+000                 -2.4893835834853864E+000                 -2.3122785914557102E+000                 -2.2880366541140127E+000 
                                      80                  1.0801137310051504E+002                  1.2553184377623601E+000                                        2                  3.6621982926836099E+000                  2.6976701014230020E+000                  2.0428543792215943E+000                  1.5470916262087788E+000                  4.5940772399043017E+003                  7.3599999999999999E-001                  2.5597275644777040E-001                  7.3599999999999999E-001                  2.5597275644777040E-001                  1.4004652062553913E-003                  3.4289607895413251E-003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -1.3176454107037213E+001                 -9.8999999999999986E+001                 -1.3176454107037213E+001                 -1.3176454107037213E+001                 -3.9200880298085252E+001                 -9.8999999999999986E+001                                        0                                        3                  5.3718810283604057E+000                  7.0998240928545489E-003                  2.2487522657614082E-003                 -8.7826236357111997E-001                 -8.5026922775701674E-001                 -2.1016515044767612E+000                 -2.1024539437242558E+000                 -1.7815739406465538E+000                 -1.7819614096714815E+000                  1.3000262656336381E+000                  1.4445160769508858E+000                 -2.1615237213648593E+000                 -2.4813222219298257E+000                 -2.3045114914849392E+000                 -2.2802625748022880E+000 
