#ZONE  log(T)         X              WORK(P)         WORK(P_NU)      WORK(P_T)        CWORK(P)        CWORK(P_NU)        CWORK(P_T)
150  0.63011411E+01  0.14213482E+00 -0.14576733E-08  0.00000000E+00  0.00000000E+00 -0.14576733E-08  0.00000000E+00  0.00000000E+00
149  0.62591492E+01  0.15356585E+00  0.55820122E-08  0.00000000E+00  0.00000000E+00  0.41243389E-08  0.00000000E+00  0.00000000E+00
148  0.62187024E+01  0.16520211E+00  0.10517483E-07  0.00000000E+00  0.00000000E+00  0.14641822E-07  0.00000000E+00  0.00000000E+00
147  0.61798096E+01  0.17702360E+00  0.38665185E-08  0.00000000E+00  0.00000000E+00  0.18508340E-07  0.00000000E+00  0.00000000E+00
146  0.61424424E+01  0.18901515E+00 -0.37320926E-09  0.00000000E+00  0.00000000E+00  0.18135131E-07  0.00000000E+00  0.00000000E+00
145  0.61065795E+01  0.20116584E+00  0.81413137E-07 -0.28239829E-09  0.00000000E+00  0.99548268E-07 -0.28239829E-09  0.00000000E+00
144  0.60720944E+01  0.21346519E+00 -0.31092047E-08 -0.39496559E-09  0.00000000E+00  0.96439063E-07 -0.67736388E-09  0.00000000E+00
143  0.60388001E+01  0.22590097E+00 -0.55191831E-08 -0.54898862E-09  0.00000000E+00  0.90919880E-07 -0.12263525E-08  0.00000000E+00
142  0.60066120E+01  0.23846198E+00 -0.69345632E-08 -0.75757811E-09  0.00000000E+00  0.83985317E-07 -0.19839306E-08  0.00000000E+00
141  0.59755141E+01  0.25113971E+00 -0.11939170E-07 -0.10373895E-08  0.00000000E+00  0.72046147E-07 -0.30213201E-08  0.00000000E+00
140  0.59454888E+01  0.26392787E+00 -0.18262852E-07 -0.14093289E-08  0.00000000E+00  0.53783295E-07 -0.44306490E-08  0.00000000E+00
139  0.59164966E+01  0.27682124E+00 -0.30799067E-07 -0.18992750E-08  0.00000000E+00  0.22984228E-07 -0.63299240E-08  0.00000000E+00
138  0.58884579E+01  0.28981405E+00 -0.47125263E-07 -0.25387805E-08  0.00000000E+00 -0.24141035E-07 -0.88687045E-08  0.00000000E+00
137  0.58612747E+01  0.30289914E+00 -0.71807431E-07 -0.33658247E-08  0.00000000E+00 -0.95948466E-07 -0.12234529E-07  0.00000000E+00
136  0.58348523E+01  0.31606789E+00 -0.98675133E-07 -0.44256358E-08  0.00000000E+00 -0.19462360E-06 -0.16660165E-07  0.00000000E+00
135  0.58091323E+01  0.32931124E+00 -0.14090596E-06 -0.57716336E-08  0.00000000E+00 -0.33552956E-06 -0.22431799E-07  0.00000000E+00
134  0.57840813E+01  0.34262034E+00 -0.20739746E-06 -0.74662294E-08  0.00000000E+00 -0.54292702E-06 -0.29898028E-07  0.00000000E+00
133  0.57596614E+01  0.35598625E+00 -0.30351424E-06 -0.95811424E-08  0.00000000E+00 -0.84644126E-06 -0.39479170E-07  0.00000000E+00
132  0.57358194E+01  0.36939933E+00 -0.41398228E-06 -0.12197265E-07  0.00000000E+00 -0.12604235E-05 -0.51676435E-07  0.00000000E+00
131  0.57124988E+01  0.38284902E+00 -0.57832163E-06 -0.15404461E-07  0.00000000E+00 -0.18387452E-05 -0.67080896E-07  0.00000000E+00
130  0.56896600E+01  0.39632442E+00 -0.82508636E-06 -0.19301007E-07  0.00000000E+00 -0.26638315E-05 -0.86381903E-07  0.00000000E+00
129  0.56672436E+01  0.40981350E+00 -0.10721249E-05 -0.23991799E-07  0.00000000E+00 -0.37359564E-05 -0.11037370E-06  0.00000000E+00
128  0.56451902E+01  0.42330322E+00 -0.14019417E-05 -0.29586668E-07  0.00000000E+00 -0.51378981E-05 -0.13996037E-06  0.00000000E+00
127  0.56234737E+01  0.43678064E+00 -0.18426041E-05 -0.36199335E-07  0.00000000E+00 -0.69805022E-05 -0.17615970E-06  0.00000000E+00
